song,variant,wiki_filename,local_file,difficulty,notes,width,height,source_url
Fairytale,2,Fairytale BYD.jpg,alternate_jackets\Fairytale\Fairytale BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/9/9f/Fairytale_BYD.jpg/revision/latest?cb=20230928090711
False Embellishment,1,False Embellishment.jpg,alternate_jackets\False Embellishment\False Embellishment.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/3/32/False_Embellishment.jpg/revision/latest?cb=20230928065710
False Embellishment,2,False byd.jpg,alternate_jackets\False Embellishment\False byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/e/ed/False_byd.jpg/revision/latest?cb=20260309005309
FREEF4LL,1,FREEF4LL.jpg,alternate_jackets\FREEF4LL\FREEF4LL.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/c5/FREEF4LL.jpg/revision/latest?cb=20230928062042
FREEF4LL,2,FREEF4LL BYD.jpg,alternate_jackets\FREEF4LL\FREEF4LL BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/4f/FREEF4LL_BYD.jpg/revision/latest?cb=20230928062119
GOODTEK (Arcaea Edit),1,Goodtek.jpg,alternate_jackets\GOODTEK (Arcaea Edit)\Goodtek.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/ab/Goodtek.jpg/revision/latest?cb=20230928063242
GOODTEK (Arcaea Edit),2,GOODTEK BYD.jpg,alternate_jackets\GOODTEK (Arcaea Edit)\GOODTEK BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/9/9e/GOODTEK_BYD.jpg/revision/latest?cb=20230928063332
Heartache,1,Heartache.jpg,alternate_jackets\Heartache\Heartache.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/81/Heartache.jpg/revision/latest?cb=20250309012756
Heartache,2,Heartache game.jpg,alternate_jackets\Heartache\Heartache game.jpg,,,384,384,https://static.wikia.nocookie.net/iowiro/images/3/3c/Heartache_game.jpg/revision/latest?cb=20250309102051
Heavenly caress,1,Heavenly caress.jpg,alternate_jackets\Heavenly caress\Heavenly caress.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/1/16/Heavenly_caress.jpg/revision/latest?cb=20230928064157
Heavenly caress,2,Heavenly byd.jpg,alternate_jackets\Heavenly caress\Heavenly byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/c7/Heavenly_byd.jpg/revision/latest?cb=20260309005600
Heavensdoor,1,Heavensdoor.jpg,alternate_jackets\Heavensdoor\Heavensdoor.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/0/05/Heavensdoor.jpg/revision/latest?cb=20230928064232
Heavensdoor,2,Heavensdoor byd.jpg,alternate_jackets\Heavensdoor\Heavensdoor byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d4/Heavensdoor_byd.jpg/revision/latest?cb=20230928064316
Ignotus,1,Ignotus.jpg,alternate_jackets\Ignotus\Ignotus.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/7d/Ignotus.jpg/revision/latest?cb=20230928064903
Ignotus,2,Ignotus Afterburn.jpg,alternate_jackets\Ignotus\Ignotus Afterburn.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/43/Ignotus_Afterburn.jpg/revision/latest?cb=20230928064824
Infinity Heaven,1,Infinity Heaven.jpg,alternate_jackets\Infinity Heaven\Infinity Heaven.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d8/Infinity_Heaven.jpg/revision/latest?cb=20230928090741
Infinity Heaven,2,Infinity Heaven BYD.jpg,alternate_jackets\Infinity Heaven\Infinity Heaven BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/5a/Infinity_Heaven_BYD.jpg/revision/latest?cb=20230928090813
inkar-usi,1,inkar usi 3.jpg,alternate_jackets\inkar-usi\inkar usi 3.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d8/Inkar_usi_3.jpg/revision/latest?cb=20231217014618
inkar-usi,2,inkar byd.jpg,alternate_jackets\inkar-usi\inkar byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/be/Inkar_byd.jpg/revision/latest?cb=20240125010033
Kanagawa Cyber Culvert,1,Kanagawa Cyber Culvert.jpg,alternate_jackets\Kanagawa Cyber Culvert\Kanagawa Cyber Culvert.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/65/Kanagawa_Cyber_Culvert.jpg/revision/latest?cb=20230928065445
Kanagawa Cyber Culvert,2,Kanagawa Cyber Culvert byd.jpg,alternate_jackets\Kanagawa Cyber Culvert\Kanagawa Cyber Culvert byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/f/f8/Kanagawa_Cyber_Culvert_byd.jpg/revision/latest?cb=20230928065518
La'qryma of the Wasteland,1,La'qryma of the Wasteland.jpg,alternate_jackets\La'qryma of the Wasteland\La'qryma of the Wasteland.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/86/La%27qryma_of_the_Wasteland.jpg/revision/latest?cb=20230928065900
La'qryma of the Wasteland,2,La'qryma of the Wasteland BYD.jpg,alternate_jackets\La'qryma of the Wasteland\La'qryma of the Wasteland BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/5f/La%27qryma_of_the_Wasteland_BYD.jpg/revision/latest?cb=20230928065941
Last,1,Last.jpg,alternate_jackets\Last\Last.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/e/e4/Last.jpg/revision/latest?cb=20230928000052
Last,2,Last Moment.jpg,alternate_jackets\Last\Last Moment.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/b2/Last_Moment.jpg/revision/latest?cb=20230928000026
Last,3,Last Eternity.jpg,alternate_jackets\Last\Last Eternity.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/7a/Last_Eternity.jpg/revision/latest?cb=20230927235951
Last Goodbye,1,Lastgoodbye.jpg,alternate_jackets\Last Goodbye\Lastgoodbye.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/7d/Lastgoodbye.jpg/revision/latest?cb=20250309012812
Last Goodbye,2,Lastgoodbye game.jpg,alternate_jackets\Last Goodbye\Lastgoodbye game.jpg,,,384,384,https://static.wikia.nocookie.net/iowiro/images/9/92/Lastgoodbye_game.jpg/revision/latest?cb=20250309102437
Libertas,1,Libertas.jpg,alternate_jackets\Libertas\Libertas.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/48/Libertas.jpg/revision/latest?cb=20230928070404
Libertas,2,Libertas byd.jpg,alternate_jackets\Libertas\Libertas byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/50/Libertas_byd.jpg/revision/latest?cb=20240125005847
Lost Civilization,1,Lostciv.jpg,alternate_jackets\Lost Civilization\Lostciv.jpg,,,500,500,https://static.wikia.nocookie.net/iowiro/images/9/90/Lostciv.jpg/revision/latest?cb=20230629134407
Lost Civilization,2,Lost Civilizatoin BYD.jpg,alternate_jackets\Lost Civilization\Lost Civilizatoin BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/b7/Lost_Civilization_BYD.jpg/revision/latest?cb=20230928090916
Lucid Traveler,1,LucidTraveller.jpg,alternate_jackets\Lucid Traveler\LucidTraveller.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/9/92/LucidTraveller.jpg/revision/latest?cb=20230927211133
Lucid Traveler,2,LucidTraveller2.jpg,alternate_jackets\Lucid Traveler\LucidTraveller2.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a9/LucidTraveller2.jpg/revision/latest?cb=20230927211237
Lumia,1,Lumia.jpg,alternate_jackets\Lumia\Lumia.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/2b/Lumia.jpg/revision/latest?cb=20230928070905
Lumia,2,Lumia BYD.jpg,alternate_jackets\Lumia\Lumia BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/7f/Lumia_BYD.jpg/revision/latest?cb=20230928070942
MEGALOVANIA,1,Megalovania.jpg,alternate_jackets\MEGALOVANIA\Megalovania.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/f/f6/Megalovania.jpg/revision/latest?cb=20250309012829
MEGALOVANIA,2,Megalovania game.jpg,alternate_jackets\MEGALOVANIA\Megalovania game.jpg,,,384,384,https://static.wikia.nocookie.net/iowiro/images/e/e7/Megalovania_game.jpg/revision/latest?cb=20250309104406
Moonheart,1,Moonheart.jpg,alternate_jackets\Moonheart\Moonheart.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/3/3f/Moonheart.jpg/revision/latest?cb=20230928072006
Moonheart,2,Moonheart BYD.jpg,alternate_jackets\Moonheart\Moonheart BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/2b/Moonheart_BYD.jpg/revision/latest?cb=20230928072040
next to you,1,next to you.jpg,alternate_jackets\next to you\next to you.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/4f/Next_to_you.jpg/revision/latest?cb=20230928072409
next to you,2,next to you BYD.jpg,alternate_jackets\next to you\next to you BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a7/Next_to_you_BYD.jpg/revision/latest?cb=20230928072439
Nhelv,1,Nhelv.jpg,alternate_jackets\Nhelv\Nhelv.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/8f/Nhelv.jpg/revision/latest?cb=20230928072512
Nhelv,2,Nhelv byd.jpg,alternate_jackets\Nhelv\Nhelv byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a4/Nhelv_byd.jpg/revision/latest?cb=20250424172822
Oblivia,1,Oblivia.jpg,alternate_jackets\Oblivia\Oblivia.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/41/Oblivia.jpg/revision/latest?cb=20230928090943
Oblivia,2,Oblivia byd.jpg,alternate_jackets\Oblivia\Oblivia byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a0/Oblivia_byd.jpg/revision/latest?cb=20240125005833
Party Vinyl,1,Party Vinyl.jpg,alternate_jackets\Party Vinyl\Party Vinyl.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/f/fa/Party_Vinyl.jpg/revision/latest?cb=20230928073300
Party Vinyl,2,Party Vinyl BYD.jpg,alternate_jackets\Party Vinyl\Party Vinyl BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/3/3c/Party_Vinyl_BYD.jpg/revision/latest?cb=20230928073334
PRAGMATISM,1,PRAGMATISM.jpg,alternate_jackets\PRAGMATISM\PRAGMATISM.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d8/PRAGMATISM.jpg/revision/latest?cb=20230928073538
PRAGMATISM,2,Pragmatism resurrection.jpg,alternate_jackets\PRAGMATISM\Pragmatism resurrection.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a5/Pragmatism_resurrection.jpg/revision/latest?cb=20230928024401
Prism,1,Prism PST.jpg,alternate_jackets\Prism\Prism PST.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/73/Prism_PST.jpg/revision/latest?cb=20230928023816
Prism,2,Prism PRS.jpg,alternate_jackets\Prism\Prism PRS.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/9/9c/Prism_PRS.jpg/revision/latest?cb=20230928023758
Prism,3,Prism FTR.jpg,alternate_jackets\Prism\Prism FTR.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/8c/Prism_FTR.jpg/revision/latest?cb=20230928023736
Protoflicker,1,Protoflicker PSTPRS.jpg,alternate_jackets\Protoflicker\Protoflicker PSTPRS.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/79/Protoflicker_PSTPRS.jpg/revision/latest?cb=20230928023708
Protoflicker,2,Protoflicker FTR.jpg,alternate_jackets\Protoflicker\Protoflicker FTR.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/ad/Protoflicker_FTR.jpg/revision/latest?cb=20230928023649
Purgatorium,1,Purgatorium.jpg,alternate_jackets\Purgatorium\Purgatorium.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/5b/Purgatorium.jpg/revision/latest?cb=20230928091725
Purgatorium,2,Purgatorium BYD.jpg,alternate_jackets\Purgatorium\Purgatorium BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/2e/Purgatorium_BYD.jpg/revision/latest?cb=20230928091810
Purple Verse,1,Purple Verse.jpg,alternate_jackets\Purple Verse\Purple Verse.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/81/Purple_Verse.jpg/revision/latest?cb=20230928073818
Purple Verse,2,Purple verse byd.jpg,alternate_jackets\Purple Verse\Purple verse byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/6b/Purple_verse_byd.jpg/revision/latest?cb=20240125005951
qualia -ideaesthesia-,1,qualia.jpg,alternate_jackets\qualia -ideaesthesia-\qualia.jpg,,,500,500,https://static.wikia.nocookie.net/iowiro/images/a/a9/Qualia.jpg/revision/latest?cb=20230629134750
qualia -ideaesthesia-,2,Qualia byd.jpg,alternate_jackets\qualia -ideaesthesia-\Qualia byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/8c/Qualia_byd.jpg/revision/latest?cb=20230928073907
Red and Blue,1,Red and Blue.jpg,alternate_jackets\Red and Blue\Red and Blue.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/24/Red_and_Blue.jpg/revision/latest?cb=20230928074220
Red and Blue,2,Redandblueandgreen.jpg,alternate_jackets\Red and Blue\Redandblueandgreen.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/1/1e/Redandblueandgreen.jpg/revision/latest?cb=20230928074252
Saint or Sinner,1,Saintorsinner.jpg,alternate_jackets\Saint or Sinner\Saintorsinner.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/66/Saintorsinner.jpg/revision/latest?cb=20240926014240
Saint or Sinner,2,Saint byd.jpg,alternate_jackets\Saint or Sinner\Saint byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/c2/Saint_byd.jpg/revision/latest?cb=20260309005253
Shades of Light in a Transcendent Realm,1,Shades of light.jpg,alternate_jackets\Shades of Light in a Transcendent Realm\Shades of light.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/0/01/Shades_of_light.jpg/revision/latest?cb=20230928082456
Shades of Light in a Transcendent Realm,2,Shades of Light in a Transcendent Realm BYD.jpg,alternate_jackets\Shades of Light in a Transcendent Realm\Shades of Light in a Transcendent Realm BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/1/1c/Shades_of_Light_in_a_Transcendent_Realm_BYD.jpg/revision/latest?cb=20230928082528
Singularity,1,Singularity.jpg,alternate_jackets\Singularity\Singularity.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d2/Singularity.jpg/revision/latest?cb=20230928082810
Singularity,2,Singularity VVVIP.jpg,alternate_jackets\Singularity\Singularity VVVIP.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/6c/Singularity_VVVIP.jpg/revision/latest?cb=20230928082844
Small Cloud Sugar Candy,1,Small Cloud Sugar Candy.jpg,alternate_jackets\Small Cloud Sugar Candy\Small Cloud Sugar Candy.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/8b/Small_Cloud_Sugar_Candy.jpg/revision/latest?cb=20230928082923
Small Cloud Sugar Candy,2,Smallcloud byd.jpg,alternate_jackets\Small Cloud Sugar Candy\Smallcloud byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/22/Smallcloud_byd.jpg/revision/latest?cb=20260309005237
Solitary Dream,1,Solitary Dream ja.jpg,alternate_jackets\Solitary Dream\Solitary Dream ja.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/5d/Solitary_Dream_ja.jpg/revision/latest?cb=20230928083052
Solitary Dream,2,Solitary Dream en.jpg,alternate_jackets\Solitary Dream\Solitary Dream en.jpg,,,768,758,https://static.wikia.nocookie.net/iowiro/images/9/97/Solitary_Dream_en.jpg/revision/latest?cb=20230928083012
STAGER (ALL STAGE CLEAR),1,STAGER_(ALL_STAGE_CLEAR)_PST.jpg,alternate_jackets\STAGER (ALL STAGE CLEAR)\STAGER_(ALL_STAGE_CLEAR)_PST.jpg,,,512,512,https://static.wikia.nocookie.net/iowiro/images/9/93/STAGER_%28ALL_STAGE_CLEAR%29_PST.jpg/revision/latest?cb=20181008122331
STAGER (ALL STAGE CLEAR),2,STAGER_(ALL_STAGE_CLEAR)_PRS.jpg,alternate_jackets\STAGER (ALL STAGE CLEAR)\STAGER_(ALL_STAGE_CLEAR)_PRS.jpg,,,512,512,https://static.wikia.nocookie.net/iowiro/images/b/b4/STAGER_%28ALL_STAGE_CLEAR%29_PRS.jpg/revision/latest?cb=20181008122341
STAGER (ALL STAGE CLEAR),3,STAGER_(ALL_STAGE_CLEAR)_FTR.jpg,alternate_jackets\STAGER (ALL STAGE CLEAR)\STAGER_(ALL_STAGE_CLEAR)_FTR.jpg,,,512,512,https://static.wikia.nocookie.net/iowiro/images/7/73/STAGER_%28ALL_STAGE_CLEAR%29_FTR.jpg/revision/latest?cb=20181008122350
Stasis,1,Stasis PST.jpg,alternate_jackets\Stasis\Stasis PST.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/c7/Stasis_PST.jpg/revision/latest?cb=20230928023601
Stasis,2,Stasis PRS.jpg,alternate_jackets\Stasis\Stasis PRS.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/89/Stasis_PRS.jpg/revision/latest?cb=20230928023543
Stasis,3,Stasis FTR.jpg,alternate_jackets\Stasis\Stasis FTR.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/cd/Stasis_FTR.jpg/revision/latest?cb=20230928023511
Tempestissimo,1,Tempestissimo.jpg,alternate_jackets\Tempestissimo\Tempestissimo.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/dc/Tempestissimo.jpg/revision/latest?cb=20230928084032
Tempestissimo,2,Tempestissimo BYD.jpg,alternate_jackets\Tempestissimo\Tempestissimo BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/1/12/Tempestissimo_BYD.jpg/revision/latest?cb=20230928084144
To the Furthest Dream,1,tothefurthestdream0.jpg,alternate_jackets\To the Furthest Dream\tothefurthestdream0.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/7b/Tothefurthestdream0.jpg/revision/latest?cb=20230927011516
To the Furthest Dream,2,tothefurthestdream1.jpg,alternate_jackets\To the Furthest Dream\tothefurthestdream1.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/c/cf/Tothefurthestdream1.jpg/revision/latest?cb=20230927011434
To the Furthest Dream,3,tothefurthestdream.jpg,alternate_jackets\To the Furthest Dream\tothefurthestdream.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/be/Tothefurthestdream.jpg/revision/latest?cb=20230927011236
trappola bewitching,1,Trappola Bewitching.jpg,alternate_jackets\trappola bewitching\Trappola Bewitching.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/e/e7/Trappola_Bewitching.jpg/revision/latest?cb=20230928085415
trappola bewitching,2,Trappola bewitching BYD.jpg,alternate_jackets\trappola bewitching\Trappola bewitching BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/7/72/Trappola_bewitching_BYD.jpg/revision/latest?cb=20230928085452
Vexaria,1,Vexaria.jpg,alternate_jackets\Vexaria\Vexaria.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d9/Vexaria.jpg/revision/latest?cb=20230928092201
Vexaria,2,Vexaria BYD.jpg,alternate_jackets\Vexaria\Vexaria BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a1/Vexaria_BYD.jpg/revision/latest?cb=20230928092234
Vicious Heroism,1,Vicious Heroism.jpg,alternate_jackets\Vicious Heroism\Vicious Heroism.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a5/Vicious_Heroism.jpg/revision/latest?cb=20230928085947
Vicious Heroism,2,Vicious heroism byd.jpg,alternate_jackets\Vicious Heroism\Vicious heroism byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/ba/Vicious_heroism_byd.jpg/revision/latest?cb=20240125010019
Your Best Nightmare,1,Yourbestnightmare.jpg,alternate_jackets\Your Best Nightmare\Yourbestnightmare.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/bc/Yourbestnightmare.jpg/revision/latest?cb=20250309012911
Your Best Nightmare,2,Yourbestnightmare game.jpg,alternate_jackets\Your Best Nightmare\Yourbestnightmare game.jpg,,,384,384,https://static.wikia.nocookie.net/iowiro/images/4/4d/Yourbestnightmare_game.jpg/revision/latest?cb=20250310083411
Ävril -Flicka i krans-,1,Ävril -Flicka i krans- PST.jpg,alternate_jackets\Ävril -Flicka i krans-\Ävril -Flicka i krans- PST.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/aa/%C3%84vril_-Flicka_i_krans-_PST.jpg/revision/latest?cb=20230928024230
Ävril -Flicka i krans-,2,Ävril -Flicka i krans- PRS.jpg,alternate_jackets\Ävril -Flicka i krans-\Ävril -Flicka i krans- PRS.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/0/01/%C3%84vril_-Flicka_i_krans-_PRS.jpg/revision/latest?cb=20230928024207
Ävril -Flicka i krans-,3,Ävril -Flicka i krans- FTR.jpg,alternate_jackets\Ävril -Flicka i krans-\Ävril -Flicka i krans- FTR.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/62/%C3%84vril_-Flicka_i_krans-_FTR.jpg/revision/latest?cb=20230928024139
͟͝͞Ⅱ́̕,1,ii PST.jpg,alternate_jackets\͟͝͞Ⅱ́̕\ii PST.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/3/3b/Ii_PST.jpg/revision/latest?cb=20230927210344
͟͝͞Ⅱ́̕,2,ii PRS.jpg,alternate_jackets\͟͝͞Ⅱ́̕\ii PRS.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/0/0e/Ii_PRS.jpg/revision/latest?cb=20230927210304
